id,region,ideology,relserv,marstat,ethnic,gender
1,2,6,3,1,5,1
2,2,3,5,1,5,2
3,2,5,1,1,5,2
4,1,5,6,3,5,1
5,1,6,6,1,5,2
6,1,1,4,1,1,1
7,1,4,2,1,5,1
8,1,3,6,6,5,2
10,2,2,6,5,5,2
11,1,3,5,1,5,2
15,2,4,4,2,5,2
16,4,7,2,1,4,1
19,3,9,2,1,1,2
24,2,3,2,5,5,1
25,4,7,1,5,5,2
37,3,5,5,2,5,2
40,3,5,3,3,1,2
41,3,6,3,1,5,1
46,4,3,1,1,5,2
47,2,1,6,6,5,2
50,2,6,2,1,5,2
52,3,6,6,5,5,1
53,2,6,1,1,5,1
54,1,1,6,2,5,2
55,1,2,.,1,6,1
56,3,9,1,3,5,1
57,3,5,4,5,5,1
59,3,5,4,4,5,2
62,3,5,1,1,5,2
63,3,5,3,1,5,2
65,4,5,2,1,5,2
66,1,3,6,3,5,2
67,2,5,3,1,6,2
68,1,9,5,1,5,2
69,2,7,1,1,5,2
71,3,3,6,1,5,2
72,3,5,6,5,1,1
73,2,3,2,1,5,2
74,4,2,6,5,5,1
75,4,7,2,1,5,1
76,4,1,4,1,5,2
77,1,4,2,1,5,2
81,2,5,3,5,5,2
82,3,1,1,3,5,2
83,3,5,4,1,5,2
86,3,5,1,1,5,2
87,2,5,1,5,5,2
91,3,5,6,3,5,2
94,3,7,3,1,5,2
95,2,3,5,1,5,1
97,3,6,3,1,5,1
99,2,5,3,1,5,2
100,2,6,1,5,5,2
101,2,5,1,1,5,2
102,4,5,6,2,5,1
105,3,6,1,1,5,2
106,4,5,3,1,5,2
108,2,7,3,1,5,1
109,1,2,6,1,5,1
112,3,5,1,1,5,2
115,3,2,6,1,5,2
117,3,9,1,1,5,2
119,2,8,3,3,5,2
122,2,5,1,3,5,2
127,3,4,2,1,5,2
129,2,6,6,1,5,1
131,1,4,3,1,5,2
134,2,5,2,2,5,2
135,3,6,6,3,5,1
140,1,9,2,1,5,2
141,3,4,3,1,5,1
142,3,6,4,1,5,2
143,4,3,6,1,5,1
147,2,9,6,1,5,2
148,4,6,6,3,5,1
149,1,4,6,3,4,1
150,4,3,5,2,5,2
151,3,5,2,2,5,2
152,1,7,2,3,5,2
154,2,3,2,1,5,2
158,2,5,2,2,5,2
159,2,6,1,1,5,1
160,4,9,5,3,5,2
161,2,9,6,3,5,1
166,2,3,4,1,5,2
168,2,6,6,1,5,1
169,4,5,4,1,5,2
170,3,9,4,3,5,1
173,4,1,6,5,5,2
175,3,4,6,1,5,1
182,4,6,3,1,5,1
183,1,2,6,1,5,2
184,1,6,4,1,5,1
185,2,9,2,1,5,2
186,1,5,3,1,5,2
187,4,2,5,6,5,1
189,3,2,1,1,4,1
191,1,5,4,1,5,1
192,2,6,2,1,5,2
193,1,6,4,1,5,2
194,4,7,1,3,5,2
196,3,4,5,3,5,2
202,3,3,6,5,5,1
205,3,9,5,2,6,2
208,4,2,2,1,5,1
212,4,5,6,1,5,1
213,4,9,3,1,5,1
214,3,5,1,1,1,2
217,1,6,1,3,5,1
218,2,5,6,1,5,1
219,2,7,3,1,5,2
221,3,5,3,1,1,1
224,4,3,6,1,5,1
225,3,4,6,1,5,1
226,2,3,1,2,3,2
227,2,6,4,3,5,1
228,3,9,6,2,4,2
229,2,6,1,2,5,2
232,3,5,6,5,4,2
235,1,6,6,1,5,2
236,2,6,2,1,6,2
238,4,4,6,3,5,2
239,3,4,5,2,5,2
240,2,5,5,2,5,2
242,3,6,6,3,5,1
243,1,2,6,5,5,2
245,2,7,2,1,5,1
246,1,5,.,9,5,2
250,3,6,5,1,5,1
251,3,7,4,1,6,1
255,2,6,2,2,5,2
256,2,6,5,1,5,2
259,2,3,6,3,5,2
262,2,6,4,3,5,1
263,3,6,3,1,5,2
264,3,3,2,1,5,2
267,3,1,2,1,5,1
272,4,1,6,5,5,1
273,4,5,6,3,4,2
274,3,7,2,1,5,2
275,3,6,2,1,4,2
276,3,5,5,1,5,2
277,3,6,1,1,5,2
278,3,9,2,2,5,1
279,3,6,6,1,5,1
280,2,5,2,1,5,2
282,3,6,4,1,5,1
283,4,1,4,1,5,2
284,3,5,6,2,5,2
285,3,9,2,1,5,2
287,3,3,6,3,5,1
290,2,5,6,1,5,1
291,4,7,6,1,5,2
292,3,3,2,2,5,2
293,3,5,6,5,5,1
295,3,5,6,1,5,2
297,4,3,3,1,5,1
300,2,5,6,1,5,1
303,1,6,2,1,5,1
304,2,5,5,1,5,2
305,3,7,6,1,5,2
306,2,6,2,1,5,2
307,2,5,1,1,5,1
308,2,3,3,1,5,1
309,3,5,6,3,5,2
313,1,2,5,5,5,2
317,3,3,1,2,5,2
319,2,7,3,2,5,2
320,1,7,6,2,5,1
321,2,9,6,3,6,2
322,2,2,6,2,5,1
323,1,7,2,1,5,2
324,3,5,1,3,4,2
325,2,6,2,1,5,2
326,2,5,2,5,5,1
328,2,5,2,1,5,2
329,1,5,2,1,5,2
333,2,6,3,3,5,1
335,3,7,6,1,5,1
336,3,3,1,1,5,2
345,1,5,4,3,1,2
347,3,7,2,2,4,1
351,2,4,6,1,5,1
352,2,5,2,5,5,2
354,2,3,5,1,5,1
356,3,6,3,1,6,1
358,4,3,4,2,2,2
364,4,3,6,4,5,1
367,2,3,3,5,1,2
368,1,3,4,2,1,2
370,3,3,6,1,5,2
371,3,5,2,2,5,2
373,3,1,1,2,1,2
374,3,4,6,6,5,2
375,3,2,1,1,5,2
376,3,5,2,1,5,2
377,2,5,2,1,5,2
378,2,4,4,2,5,2
380,4,2,3,4,5,2
382,4,3,6,1,5,1
383,3,5,4,1,5,2
393,3,7,2,1,5,2
394,4,5,4,2,5,1
396,4,3,6,1,5,2
400,2,1,2,1,5,2
402,2,1,3,2,5,2
403,2,5,4,1,5,2
404,2,3,3,1,5,2
407,2,6,2,1,5,2
408,2,4,2,2,5,2
411,2,3,6,3,5,1
413,2,6,5,1,5,1
414,2,4,6,1,5,2
417,2,7,2,1,5,2
418,1,2,3,3,5,1
419,2,5,2,1,5,1
423,4,5,4,3,5,2
426,3,5,3,6,1,2
427,3,4,2,1,5,2
428,3,9,4,2,1,2
429,2,1,6,5,5,1
431,2,6,4,1,5,1
432,1,2,2,1,5,2
433,1,1,6,5,5,2
434,1,7,1,1,5,1
438,1,4,3,5,5,2
439,1,6,6,3,5,1
440,4,4,6,6,5,1
441,4,4,2,2,5,2
443,4,4,4,5,5,1
448,3,4,6,3,5,2
449,3,9,1,1,1,1
453,2,3,4,1,5,2
454,2,6,6,1,5,1
455,2,5,1,1,5,1
456,2,1,3,1,5,2
459,4,5,6,5,5,1
461,4,6,2,1,5,2
463,1,2,2,2,5,2
464,1,7,2,1,5,1
467,3,7,1,1,5,2
468,4,7,2,2,5,2
475,4,6,5,1,5,1
478,1,3,6,1,5,2
479,4,3,3,2,5,2
481,4,6,6,1,5,1
482,4,3,6,1,5,2
483,4,3,2,1,5,2
491,4,2,6,1,5,1
493,3,5,4,1,5,2
494,4,2,3,1,5,2
496,2,3,6,1,5,2
497,2,2,.,6,5,1
498,2,3,4,5,1,2
499,2,3,6,6,5,2
501,2,4,6,1,5,2
503,2,7,6,1,5,2
506,1,9,4,1,5,1
508,4,6,2,1,5,2
514,1,7,1,1,5,2
515,2,6,3,1,5,1
517,4,4,6,5,5,2
520,3,6,2,1,5,1
521,3,6,1,1,5,1
524,4,5,1,5,1,2
525,4,3,4,1,2,2
531,4,6,1,1,5,2
532,4,6,5,1,5,1
533,4,7,5,1,5,2
535,4,2,6,1,2,2
536,4,6,1,5,5,2
537,1,5,2,1,5,1
539,3,9,6,1,5,2
541,3,8,6,3,5,2
543,3,7,4,1,5,2
545,2,7,2,4,5,2
548,3,8,6,1,5,2
550,3,3,1,1,1,1
551,2,5,5,1,5,2
552,2,6,1,1,5,2
554,2,3,2,1,5,2
557,3,6,1,1,5,1
560,2,5,5,1,6,2
564,2,9,6,6,6,2
567,2,6,1,5,5,2
570,3,7,6,1,5,1
572,3,6,5,1,5,2
575,3,9,6,1,5,2
579,3,5,2,2,5,1
581,3,4,1,2,5,2
582,1,2,6,1,5,2
585,2,7,2,1,5,2
586,4,6,1,1,5,2
589,3,5,6,1,5,2
592,2,5,6,5,5,1
594,1,5,2,2,5,1
596,1,6,6,4,5,2
598,2,2,1,2,5,2
601,3,9,3,5,1,2
603,3,1,2,4,1,1
607,3,5,4,1,5,1
609,2,5,2,1,5,1
610,2,6,5,1,5,2
611,2,9,2,1,5,2
613,3,3,2,5,5,1
616,3,5,4,1,4,2
617,3,3,2,1,4,1
618,3,5,4,4,4,2
620,1,2,4,3,5,2
624,2,7,2,1,5,2
626,3,5,6,1,5,2
627,2,3,6,1,5,2
629,4,4,5,1,5,1
630,3,5,3,1,5,2
633,2,4,3,1,5,2
634,3,3,5,1,2,1
635,4,6,3,3,5,1
636,1,3,3,2,5,2
637,2,1,6,5,5,1
638,3,6,1,1,5,1
639,4,3,6,2,5,2
642,3,7,6,1,5,1
643,3,4,5,5,5,1
645,2,6,2,1,5,2
647,3,5,6,1,5,2
648,3,5,4,1,5,1
649,1,3,6,1,5,2
650,3,6,5,1,5,2
651,4,3,4,1,6,1
653,3,3,6,1,5,1
654,3,6,2,1,5,1
659,2,1,1,1,5,2
662,3,5,6,1,5,2
665,3,1,3,4,5,2
666,3,9,5,1,5,2
668,1,5,6,1,5,1
670,1,7,4,1,5,1
671,1,5,2,1,6,1
673,2,4,5,1,5,2
677,3,4,3,2,6,2
680,2,5,3,9,5,2
681,4,4,6,5,5,1
684,3,5,3,1,5,1
687,3,6,2,1,5,1
688,3,3,3,3,5,2
692,3,7,2,1,5,1
693,4,2,6,1,5,1
695,3,7,1,1,5,1
698,3,6,5,1,5,1
701,2,5,2,1,5,1
702,3,3,5,1,4,2
704,3,6,1,1,5,2
709,4,7,2,1,5,1
710,4,5,3,1,5,2
711,4,7,5,1,5,1
713,3,7,2,1,5,1
715,2,5,6,6,6,1
718,2,5,2,1,5,2
719,2,5,4,1,5,1
724,1,3,5,1,5,1
725,1,1,6,1,5,2
726,1,6,5,5,5,1
728,2,5,6,1,5,1
737,1,7,6,1,5,1
739,1,6,6,1,5,1
740,1,1,6,2,1,2
741,1,9,6,1,5,2
744,1,9,6,1,4,1
746,1,5,1,1,5,2
747,1,3,6,1,5,1
748,1,5,1,1,5,1
749,1,3,5,1,5,2
752,2,5,5,1,5,2
753,2,7,2,1,5,2
759,4,5,5,1,4,1
762,2,3,3,1,5,1
763,3,9,2,5,1,1
770,1,7,3,1,5,2
772,3,5,1,1,1,2
775,3,2,4,1,5,2
777,3,3,4,5,1,2
778,2,4,6,1,5,2
780,2,3,2,1,5,2
782,2,9,5,5,5,2
783,2,5,6,1,5,1
784,2,5,5,1,4,2
786,1,3,4,1,1,1
787,2,3,4,1,5,1
791,3,6,4,1,5,1
792,1,7,2,1,5,1
794,3,6,3,2,5,1
795,3,2,4,5,5,1
796,3,7,1,1,5,1
801,3,6,1,5,1,2
802,3,2,4,2,5,1
807,4,7,2,2,5,1
808,3,6,5,1,5,2
810,2,7,1,2,5,2
811,2,5,4,1,5,2
812,4,3,6,1,5,2
813,4,6,3,1,4,1
814,4,5,2,1,4,2
816,3,2,5,1,6,2
817,3,3,2,1,5,2
818,3,9,6,1,5,1
819,3,5,6,3,1,2
820,3,5,6,3,5,2
823,3,9,3,2,5,1
829,1,5,2,1,5,1
830,1,5,2,1,5,2
835,3,5,2,2,5,2
836,3,6,6,1,5,2
837,3,7,6,6,5,1
841,2,5,6,3,5,2
842,2,2,5,2,5,2
843,2,7,5,1,5,2
844,3,3,1,4,1,2
846,3,3,2,1,1,2
849,2,5,5,1,5,2
852,3,5,1,1,5,1
854,3,5,1,2,5,2
856,3,5,5,1,5,1
865,4,5,6,1,5,1
869,3,5,4,1,5,1
871,2,5,2,1,5,2
872,2,3,2,1,5,2
873,2,3,3,1,5,2
876,2,1,5,1,5,1
877,2,3,4,5,5,2
878,2,7,3,1,5,1
880,2,5,5,1,5,2
881,2,5,5,1,5,2
887,2,5,5,1,5,1
888,2,5,1,1,5,2
889,2,7,1,1,5,2
890,4,1,6,6,4,2
892,3,4,4,5,1,2
893,3,5,6,1,4,2
900,1,7,4,2,5,2
902,1,9,5,1,5,1
903,1,5,6,3,5,1
904,1,3,6,1,5,1
905,1,9,5,1,5,1
906,1,1,4,3,5,1
908,1,5,4,3,5,2
909,1,6,3,1,5,2
910,4,3,6,3,5,1
911,4,6,2,1,5,2
913,4,5,6,1,5,2
916,3,7,5,5,5,1
918,3,6,2,1,1,1
919,4,7,6,1,5,2
920,4,3,5,1,5,1
925,2,5,2,1,.,1
927,3,9,6,1,5,1
930,2,7,2,1,5,2
931,2,5,6,1,5,1
932,3,5,1,3,1,2
933,3,5,2,1,5,2
934,3,6,2,1,5,1
935,3,2,5,5,5,2
945,2,3,3,9,5,2
946,2,5,6,1,5,2
948,1,5,2,2,5,1
950,1,1,6,3,5,1
951,1,6,4,1,5,2
952,1,5,5,1,6,2
955,4,5,6,3,5,2
956,1,5,6,1,5,1
957,1,5,6,1,5,2
958,2,5,6,5,5,2
959,3,7,4,6,1,2
960,2,5,5,1,5,2
962,4,6,6,5,5,1
965,4,3,6,3,5,2
966,4,6,4,1,5,2
967,4,3,6,3,5,2
970,3,1,6,5,4,1
975,2,6,3,1,5,2
976,3,3,6,1,5,2
977,2,3,4,2,5,2
979,4,5,4,1,5,2
980,3,3,3,1,5,1
982,3,3,5,1,5,1
984,3,3,5,4,5,2
985,3,6,1,1,5,2
987,3,5,6,1,2,2
988,4,5,3,1,4,2
989,4,3,6,2,5,1
990,3,3,1,1,5,1
993,3,7,1,1,5,2
994,2,6,1,1,5,1
995,2,5,6,1,5,1
997,1,5,2,1,5,2
998,4,5,6,1,6,1
999,3,3,2,1,5,2
1000,3,5,1,3,5,2
1005,4,3,6,5,5,2
1007,4,1,6,1,5,1
1008,4,5,6,1,5,2
1011,1,1,5,5,5,1
1015,1,6,4,1,6,1
1016,1,5,3,1,5,2
1017,1,5,1,1,6,2
1018,1,2,4,6,1,1
1021,4,6,5,1,5,1
1025,3,7,3,1,5,2
1027,3,7,4,1,5,2
1032,2,3,6,6,5,2
1035,4,6,4,2,5,1
1038,4,2,5,1,5,1
1039,4,5,6,5,5,2
1043,4,3,5,1,5,1
1044,4,5,2,1,2,1
1045,4,2,6,6,5,1
1046,4,6,2,1,4,2
1047,4,5,5,5,5,1
1048,4,5,6,1,4,1
1052,1,1,6,1,5,2
1054,1,3,2,4,5,2
1058,4,3,4,1,5,1
1060,3,3,3,1,1,1
1061,3,9,1,1,1,2
1066,4,6,4,5,5,1
1069,2,5,3,1,1,1
1071,2,5,5,1,5,1
1072,2,4,4,1,5,2
1073,2,6,1,1,2,1
1075,2,5,1,1,5,1
1077,2,2,1,1,5,2
1079,2,6,6,1,5,2
1081,2,7,4,1,6,1
1085,2,4,1,1,5,1
1086,2,7,2,5,5,1
1088,2,5,4,1,5,1
1089,2,8,5,1,5,2
1090,2,5,2,1,5,2
1092,4,3,4,5,.,1
1093,4,3,6,6,6,2
1094,4,3,6,1,5,2
1098,2,2,3,1,5,1
1099,2,4,4,5,5,2
1100,2,3,5,1,5,1
1101,2,5,5,1,5,1
1103,2,4,4,1,5,2
1104,2,5,2,1,5,2
1106,4,7,5,1,5,2
1107,1,2,6,6,5,2
1109,1,4,6,1,5,2
1111,2,5,5,1,5,2
